% Ex(V/m)	Ey(V/m)	Ez(V/m)
3.236151e-04	-2.060877e-03	3.383844e-04
5.460371e-04	-2.336380e-03	5.622295e-04
7.027216e-04	-2.320285e-03	7.203456e-04
7.251491e-04	-2.093787e-03	7.441838e-04
6.302760e-04	-1.885340e-03	6.506658e-04
4.856494e-04	-1.864943e-03	5.072983e-04
3.526905e-04	-2.006849e-03	3.754565e-04
2.590992e-04	-2.133827e-03	2.827888e-04
2.126505e-04	-2.092859e-03	2.370139e-04
2.255720e-04	-1.899499e-03	2.502989e-04
3.135723e-04	-1.723578e-03	3.382887e-04
4.678265e-04	-1.735001e-03	4.920927e-04
6.336404e-04	-1.951000e-03	6.569507e-04
7.283528e-04	-2.218447e-03	7.501372e-04
6.936453e-04	-2.340836e-03	7.132729e-04
5.410131e-04	-2.235223e-03	5.577984e-04
3.502276e-04	-1.987825e-03	3.634393e-04
2.192139e-04	-1.773226e-03	2.280861e-04
2.041209e-04	-1.717467e-03	2.078676e-04
2.940129e-04	-1.819341e-03	2.918453e-04
4.326723e-04	-1.979080e-03	4.238187e-04
5.617622e-04	-2.089549e-03	5.454899e-04
6.489745e-04	-2.106495e-03	6.246149e-04
6.867754e-04	-2.052898e-03	6.537498e-04
6.765680e-04	-1.977741e-03	6.344149e-04
6.212725e-04	-1.918153e-03	5.696753e-04
5.326679e-04	-1.890376e-03	4.714817e-04
4.395794e-04	-1.897147e-03	3.688572e-04
3.811739e-04	-1.929629e-03	3.011895e-04
3.865011e-04	-1.963402e-03	2.977685e-04
4.572806e-04	-1.966341e-03	3.605695e-04
5.684865e-04	-1.924635e-03	4.648315e-04
6.839800e-04	-1.864754e-03	5.746826e-04
7.716315e-04	-1.841264e-03	6.582546e-04
8.075198e-04	-1.889997e-03	6.918730e-04
7.746964e-04	-1.986351e-03	6.588114e-04
6.691363e-04	-2.054077e-03	5.552320e-04
5.141805e-04	-2.027099e-03	4.046173e-04
3.671641e-04	-1.913147e-03	2.643874e-04
2.998929e-04	-1.797940e-03	2.063666e-04
3.556751e-04	-1.778325e-03	2.738049e-04
5.120663e-04	-1.879097e-03	4.441164e-04
6.830556e-04	-2.027942e-03	6.310590e-04
7.675805e-04	-2.113883e-03	7.332477e-04
7.133581e-04	-2.079930e-03	6.979867e-04
5.494116e-04	-1.969110e-03	5.538032e-04
3.630356e-04	-1.884512e-03	3.874231e-04
2.397077e-04	-1.900312e-03	2.837013e-04
2.118117e-04	-2.002270e-03	2.743680e-04
2.516623e-04	-2.106598e-03	3.310832e-04
3.067636e-04	-2.135202e-03	4.007304e-04
3.432862e-04	-2.078650e-03	4.489319e-04
3.629242e-04	-1.995311e-03	4.769472e-04
3.855707e-04	-1.955249e-03	5.043878e-04
4.195112e-04	-1.983144e-03	5.394466e-04
4.477133e-04	-2.047411e-03	5.652162e-04
4.410110e-04	-2.095933e-03	5.528891e-04
3.850015e-04	-2.099628e-03	4.886553e-04
2.976252e-04	-2.066791e-03	3.912650e-04
2.237870e-04	-2.024747e-03	3.066108e-04
2.110041e-04	-1.994180e-03	2.833159e-04
2.816571e-04	-1.980027e-03	3.449052e-04
4.173933e-04	-1.979437e-03	4.741125e-04
5.636023e-04	-1.990328e-03	6.172506e-04
6.527445e-04	-2.009637e-03	7.074320e-04
6.372876e-04	-2.027709e-03	6.974068e-04
5.169341e-04	-2.031682e-03	5.867117e-04
3.439136e-04	-2.018503e-03	4.269167e-04
1.988620e-04	-2.002887e-03	2.974986e-04
1.472093e-04	-2.007018e-03	2.622736e-04
2.016268e-04	-2.038022e-03	3.319426e-04
3.161525e-04	-2.075627e-03	4.583637e-04
4.179217e-04	-2.086080e-03	5.664739e-04
4.554250e-04	-2.052939e-03	6.027674e-04
4.291137e-04	-1.996026e-03	5.661294e-04
3.830882e-04	-1.957950e-03	4.997396e-04
3.665493e-04	-1.967527e-03	4.526985e-04
3.966828e-04	-2.012685e-03	4.430230e-04
4.517686e-04	-2.048540e-03	4.507816e-04
4.971963e-04	-2.034623e-03	4.440385e-04
5.198719e-04	-1.968510e-03	4.130872e-04
5.407814e-04	-1.886619e-03	3.827484e-04
5.951217e-04	-1.833063e-03	3.921628e-04
6.970590e-04	-1.825510e-03	4.591685e-04
8.188167e-04	-1.847286e-03	5.590079e-04
9.020709e-04	-1.868946e-03	6.353832e-04
8.943178e-04	-1.876161e-03	6.365690e-04
7.843884e-04	-1.878230e-03	5.507921e-04
6.126745e-04	-1.892825e-03	4.164684e-04
4.497859e-04	-1.925163e-03	3.010207e-04
3.578577e-04	-1.962447e-03	2.624894e-04
3.581091e-04	-1.986921e-03	3.175025e-04
4.226376e-04	-1.992524e-03	4.335462e-04
4.934785e-04	-1.988702e-03	5.485063e-04
5.169531e-04	-1.989583e-03	6.054459e-04
4.736765e-04	-2.001079e-03	5.829330e-04
3.874724e-04	-2.018268e-03	5.041245e-04
3.084719e-04	-2.032986e-03	4.198618e-04
2.809971e-04	-2.041316e-03	3.763805e-04
3.166544e-04	-2.043072e-03	3.880872e-04
3.901896e-04	-2.036253e-03	4.330034e-04
4.603824e-04	-2.015681e-03	4.732176e-04
5.003155e-04	-1.979537e-03	4.847487e-04
5.141839e-04	-1.936876e-03	4.740461e-04
5.280058e-04	-1.905973e-03	4.685342e-04
5.622735e-04	-1.902031e-03	4.892568e-04
